142,107,100.0
71,272,100.0
47,226,100.0
35,177,100.0
28,121,100.0
23,86,100.0
20,100,100.0
17,136,100.0
15,61,100.0
14,62,100.0
12,49,100.0
11,109,100.0
10,66,100.0
10,88,100.0
9,95,100.0
8,71,100.0
8,15,100.0
7,80,100.0
7,57,100.0
7,75,100.0
6,114,100.0
6,62,100.0
6,22,100.0
5,41,100.0
5,18,100.0
5,61,100.0
5,54,100.0
5,53,100.0
4,56,100.0
4,13,100.0
4,19,100.0
4,17,100.0
4,76,100.0
4,17,100.0
4,34,100.0
3,61,100.0
3,20,100.0
3,15,100.0
3,68,100.0
3,79,100.0
3,12,100.0
3,30,100.0
3,17,100.0
3,37,100.0
3,48,100.0
3,13,100.0
3,23,100.0
2,19,100.0
2,74,100.0
